"","RegionName","date.max","newdeaths","date.min30","date.plus30"
"1","Oklahoma",2021-04-07,1716,2021-03-08,2021-05-07
"2","New York",2020-04-07,1273,2020-03-08,2020-05-07
"3","California",2021-02-24,1086,2021-01-25,2021-03-26
"4","Texas",2020-07-27,700,2020-06-27,2020-08-26
"5","New Jersey",2020-04-30,483,2020-03-31,2020-05-30
"6","Georgia",2020-11-03,480,2020-10-04,2020-12-03
"7","Iowa",2020-12-11,469,2020-11-11,2021-01-10
"8","Kentucky",2021-03-18,448,2021-02-16,2021-04-17
"9","Pennsylvania",2021-01-20,388,2020-12-21,2021-02-19
"10","Virginia",2021-03-03,383,2021-02-01,2021-04-02
"11","Arizona",2021-01-12,335,2020-12-13,2021-02-11
"12","Alabama",2021-02-03,309,2021-01-04,2021-03-05
"13","Alabama",2021-02-10,309,2021-01-11,2021-03-12
"14","Massachusetts",2020-04-19,302,2020-03-20,2020-05-19
"15","Michigan",2021-01-02,288,2020-12-03,2021-02-01
"16","Florida",2020-08-11,276,2020-07-12,2020-09-10
"17","Colorado",2020-12-09,267,2020-11-09,2021-01-08
"18","Illinois",2020-12-02,266,2020-11-02,2021-01-01
"19","Missouri",2021-02-02,266,2021-01-03,2021-03-04
"20","South Carolina",2021-02-01,241,2021-01-02,2021-03-03
"21","Ohio",2020-12-16,210,2020-11-16,2021-01-15
"22","Connecticut",2020-04-20,204,2020-03-21,2020-05-20
"23","Kansas",2021-02-05,203,2021-01-06,2021-03-07
"24","Tennessee",2021-02-05,203,2021-01-06,2021-03-07
"25","Indiana",2021-02-04,189,2021-01-05,2021-03-06
"26","Washington",2020-12-29,174,2020-11-29,2021-01-28
"27","West Virginia",2021-03-12,173,2021-02-10,2021-04-11
"28","Maryland",2020-05-02,171,2020-04-02,2020-06-01
"29","North Carolina",2021-02-03,169,2021-01-04,2021-03-05
"30","Arkansas",2020-09-15,158,2020-08-16,2020-10-15
"31","Minnesota",2021-03-09,140,2021-02-07,2021-04-08
"32","Wisconsin",2021-01-16,135,2020-12-17,2021-02-15
"33","Louisiana",2020-04-14,129,2020-03-15,2020-05-14
"34","New Mexico",2021-05-24,114,2021-04-24,2021-06-23
"35","Mississippi",2021-01-12,98,2020-12-13,2021-02-11
"36","Nevada",2021-01-20,71,2020-12-21,2021-02-19
"37","Nebraska",2020-12-01,62,2020-11-01,2020-12-31
"38","Hawaii",2021-01-26,59,2020-12-27,2021-02-25
"39","North Dakota",2020-12-09,58,2020-11-09,2021-01-08
"40","Montana",2021-02-03,54,2021-01-04,2021-03-05
"41","Oregon",2021-01-12,54,2020-12-13,2021-02-11
"42","South Dakota",2020-11-28,54,2020-10-29,2020-12-28
"43","Maine",2021-01-08,41,2020-12-09,2021-02-07
"44","Idaho",2020-11-17,35,2020-10-18,2020-12-17
"45","Utah",2021-01-29,35,2020-12-30,2021-02-28
"46","Wyoming",2020-12-31,33,2020-12-01,2021-01-30
"47","Wyoming",2021-01-12,33,2020-12-13,2021-02-11
"48","Rhode Island",2020-12-13,30,2020-11-13,2021-01-12
"49","New Hampshire",2021-01-06,24,2020-12-07,2021-02-05
"50","Alaska",2021-01-20,23,2020-12-21,2021-02-19
"51","Delaware",2021-02-24,23,2021-01-25,2021-03-26
"52","Washington DC",2020-04-30,19,2020-03-31,2020-05-30
"53","Washington DC",2020-05-08,19,2020-04-08,2020-06-07
"54","Vermont",2020-12-27,6,2020-11-27,2021-01-26
